CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg
6654,2025-09-04,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 30MB,ACOMETIDA DAÑADA.,"SD FUERA DE LINEA, REQUIERE VISITA.",2025-09-05,1500047,ACTIVO,MADERO,XPONDD3F5A37,AC,BASINT30,,XPONDD3F5A37,,1,6654,-23.172914260074236
43978,2025-09-04,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 30MB,"CLIENTE COMENTA QUE TIENE VARIOS SIN DIAS INTERNET,",nan,2025-09-08,1500285,ACTIVO,MIL CUMBRES,XPONDD4C4542,AC,BASINT30,2024-02-02,XPONDD4C4542,580.0,4,43978,-25.689422733905186
346601,2025-09-04,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 10MB (NO VIGENTE),LEDS VERDES INTERMITENTES,nan,2025-09-05,1500039,ACTIVO,PEDREGAL,XPONDD32F7A6,AC,BASINT10,2014-01-10,XPONDD32F7A6,4255.0,1,346601,-19.484622234862748
41014,2025-09-05,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 30MB,LOS ROJO,"SD FUERA DE LINEA, REQUIERE VISITA.",2025-09-05,1500285,ACTIVO,VISTA BELLA,48575443553565A9,AC,INT30,2022-04-07,48575443553565A9,1247.0,0,41014,-29.191037850442424
40511,2025-09-05,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 30MB,LOS ROJO,"SD FUERA DE LINEA, REQUIERE VISITA.,",2025-09-07,1500039,ACTIVO,VIRREY,XPONDD2C32A6,AC,INT30,,XPONDD2C32A6,,2,40511,-24.49455865175986
45588,2025-09-05,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,"SD FUERA DE LINEA, REQUIERE VISITA.",2025-09-06,1500039,ACTIVO,PEDREGAL,HWTCAF3AC946,AC,BASINTF250,2025-03-09,HWTCAF3AC946,180.0,1,45588,-21.309704712172422
38597,2025-09-05,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 30MB,LOS EN ROJO,"SD FUERA DE LINEA, REQUIERE VISITA.",2025-09-08,1500285,ACTIVO,VISTA BELLA,4857544377B66B9A,AC,INT30,2021-09-06,4857544377B66B9A,1460.0,3,38597,-28.153126972507117
32576,2025-09-05,PENDIENTE DE INSTALAR/NO AMARRO,INTERNET FIBRA 10MB (NO VIGENTE),LOS ROJO,nan,2025-09-07,1500039,ACTIVO,PEDREGAL,XPONDD45A2CA,AC,INT10,,XPONDD45A2CA,,2,32576,-22.90518515655179
2788,2025-09-05,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 50MB,nan,"SD NIVEL OPTICO BAJO DE MENOS 29.58, REQUIERE VISITA.",2025-09-08,1500285,ACTIVO,VIRREY,XPONDD4C7B1A,AC,BASINT50,,XPONDD4C7B1A,,3,2788,-27.8050400121841
39761,2025-09-05,CAMBIO DE ACOMETIDA,INTERNET FIBRA 20MB,SIN COSTO DE CABLEADO PIDE LUIS,nan,2025-09-05,1501037,ACTIVO,PERIODISMO,48575443B1A9DE8B,AC,INT20,,48575443B1A9DE8B,,0,39761,-26.244322461405645
23720,2025-09-05,MODEM DAÑADO/PERDIDO (COBRO),BASICO TV + INTERNET FIBRA 30MB,TEC SOLCIITA OS TIT ACEPTA COSTO. EL NUEVO EQUIPO SERA XPONDD53127C,nan,2025-09-05,1500047,ACTIVO,MADERO,XPONDD53127C,AC,BASINT30,,XPONDD53127C,,0,23720,-24.64794033796741
5390,2025-09-05,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 30MB,LAPSO DE 24 A 48HRS,"SD FUERA DE LINEA, REQUIERE VISITA., CLIENTE VA CANCELAR",2025-09-18,1500036,PENDIENTE RETIRO,PRADOS VERDES,BTPTDD251B0F,nan,nan,,nan,,13,5390,-29.536364376379833
