CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg
346613,2026-02-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-02-26,1500039,ACTIVO,PEDREGAL,XPONDD7EAA7E,AC,BASINTF250,,XPONDD7EAA7E,,3,346613,-25.241906202723065
45498,2026-02-23,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,"ER, NIVEL BAJO MENOS 29.20",2026-02-25,1500503,ACTIVO,SANTIAGUITO,HWTCAFAA0809,AC,INT30,2025-06-08,HWTCAFAA0809,260.0,2,45498,-28.55745839636921
666,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO SIN SEÑAL EN AMBOS SERVICIOS,nan,2026-02-24,1500285,ACTIVO,VIRREY,XPONDD7E9B46,AC,BASINTF250,,XPONDD7E9B46,,0,666,-23.35028273809534
40186,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,nan,nan,2026-02-27,1500285,ACTIVO,VISTA BELLA,485754434E34A78B,AC,INT30,2022-05-02,485754434E34A78B,1394.0,3,40186,-25.588203479576578
343799,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,CLIENTE COMENTA QUE NO CUENTA CON NINGUN SERVICIO,JV SE ATENDIO CON EL TECNICO,2026-02-26,1501451,ACTIVO,VIRREY,XPONDD300E06,AC,BASINT20,,XPONDD300E06,,2,343799,-29.20200595238083
43343,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,nan,JV SE ATENDIO CON EL TECNICO,2026-02-27,1501451,ACTIVO,VIRREY,HWTC50025946,AC,INT30,2023-05-09,HWTC50025946,1022.0,3,43343,-25.418508928571498
45647,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),"PIDE VISITA, INTERMITENCIAS NO TIENE LA VELOCIDAD CONTRATADA",nan,2026-02-24,1500039,ACTIVO,PEDREGAL,HWTCAF3AF2DA,AC,BASINTF250,2025-12-09,HWTCAF3AF2DA,77.0,0,45647,-23.518077407967752
46156,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO SIN SEÑAL EN AMBOS SERVICIOS,nan,2026-02-24,1500039,ACTIVO,PEDREGAL,HWTCAFAB35CB,AC,BASINTF250,,HWTCAFAB35CB,,0,46156,-25.214340645486605
43751,2026-02-24,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,PIDE VISITA POR FALLAS CONSTANTES,nan,2026-02-25,1500047,ACTIVO,PRADOS VERDES,OPTI37B062A5,AC,INT20,2024-10-01,OPTI37B062A5,511.0,1,43751,-28.771116641143415
31368,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,FOCO ROJO,nan,2026-02-26,1500039,ACTIVO,PEDREGAL,XPONDD3FCC0F,AC,INT20,,XPONDD3FCC0F,,2,31368,-26.743538830055524
42716,2026-02-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 120MB,FOCO ROJO,nan,2026-02-27,1500039,ACTIVO,PERIODISMO,XPONDD5305AC,AC,INT50,,XPONDD5305AC,,3,42716,-21.911780870806545
37723,2026-02-24,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 75MB,nan,nan,2026-02-25,1500047,ACTIVO,PRADOS VERDES,OEMT3C1D24DC,AC,BASINT30,,OEMT3C1D24DC,,1,37723,-27.609891578416423
