CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,MODEM(S)_y,DIAS_ANTIGUEDAD,DIAS_ATENCION,ont_id,rx_avg,serial_number,ont_model,software_version,description
335433,2026-02-18,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-19,1500039,ACTIVO,PEDREGAL,485754437427A44C,AC,INT30,2014-03-03,485754437427A44C,4370.0,1,335433,-30.26595688350964,485754437427A44C,HG8546M,V5R019C00S050,33772
38501,2026-02-18,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,LEDS INTERMITENTES,nan,2026-02-19,1500047,ACTIVO,MADERO,4857544313161AA9,AC,INT20,2021-09-06,4857544313161AA9,1626.0,1,38501,-23.485325757575772,4857544313161AA9,HG8546M,V3R017C10S125,44552
5863,2026-02-18,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,SIN SEÑAL EN AMBOS SERVICIOS,nan,2026-02-19,1500039,ACTIVO,PERIODISMO,HWTC1DD88A9C,AC,BASINT30,2014-12-04,HWTC1DD88A9C,4094.0,1,5863,-21.63410599571734,485754431DD88A9C,CNA-ONU-4GE2WXCA,V1.7.1,29210
40481,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 150MB,LOS ROJO,nan,2026-02-19,1500039,ACTIVO,PEDREGAL,48575443B88F8F9B,AC,INT100,2022-10-03,48575443B88F8F9B,1235.0,0,40481,-24.194902924861324,48575443B88F8F9B,HS8546V2,V3R017C10S138,42904
46084,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-02-21,1500374,ACTIVO,VIRREY,HWTCAFAB6A1B,AC,BASINTF250,2025-09-12,HWTCAFAB6A1B,160.0,2,46084,-27.0968913690477,48575443AFAB6A1B,CNA-ONU-4GE2WXCA,V1.7.1,42874
29210,2026-02-19,CAMBIO DE ACOMETIDA,INTERNET FIBRA 45MB (NO VIGENTE),TEC SOLCIITA TIT ENTERADO QUE NO TIENE COSTO,nan,2026-02-19,1500047,ACTIVO,PRADOS VERDES,XPONDD47C2B2,AC,INT10,,XPONDD47C2B2,,0,29210,-31.09786830357144,58504F4EDD47C2B2,MN-WIFI2,V1.7.1,343435
42112,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-19,1500039,ACTIVO,PEDREGAL,XPONDD3E6F9D,AC,INT20,,XPONDD3E6F9D,,0,42112,-21.87566944024205,58504F4EDD3E6F9D,MN-WIFI2,V1.7.1,37062
5222,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-20,1500374,ACTIVO,VIRREY,BTPTDD200042,AC,BASINT20,2014-01-04,BTPTDD200042,4429.0,1,5222,-31.62290029761893,42545054DD200042,BT-213XR,V1.2.6,nan
15858,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-02-20,1500047,ACTIVO,PRADOS VERDES,HWTC50026462,AC,BASINTF250,2026-11-02,HWTC50026462,-256.0,1,15858,-20.46994918699187,4857544350026462,CNA-ONU-2GE2WXCA,V1.7.1,39008
39549,2026-02-19,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,nan,nan,2026-02-20,1500047,ACTIVO,MADERO,XPONDD52D1FC,AC,INT20,,XPONDD52D1FC,,1,39549,-20.763500510464535,58504F4EDD52D1FC,MN-CATV2,V1.7.1,44974
