CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,DIAS_ANTIGUEDAD,DIAS_ATENCION,RX_AVG,SERIAL_NUMBER,ONT_MODEL,SOFTWARE_VERSION,PROBABILIDAD_RIESGO,PREDICCION_ABANDONO
38204,2026-03-24,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 250MB ($399),ESTA FUERA DE LINEA,GT.OFFLINE,2026-03-26,1500374,ACTIVO,VIRREY,XPONDD91A1EE,AC,BASINTF250,,,2.0,-25.371682013505215,58504F4EDD91A1EE,MN-CATVDUALM,V1R007C00S001,0.076272234,0
43781,2026-03-24,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 75MB,nan,TIENE NIVEL BAJO 29.58 REQUIERE VISITA,2026-03-26,1500039,ACTIVO,PERIODISMO,48575443D0423B5B,AC,INT30,,,2.0,-30.561854508196717,48575443D0423B5B,HG8546M,V5R019C00S050,0.076272234,0
46381,2026-03-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,"ER, VARIAS DESCONEXIONES",2026-03-26,1500039,ACTIVO,PEDREGAL,XPONDD91AAE6,AC,BASINTF250,2026-04-02,-9.0,2.0,-22.633189528023493,58504F4EDD91AAE6,MN-CATVDUALM,V1R007C00S001,0.076272234,0
36562,2026-03-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,"ER, FUERA DE LINEA",2026-03-26,1500039,ACTIVO,PEDREGAL,4857544332C64D8B,AC,INT20,,,2.0,-23.734137168141615,4857544332C64D8B,546M,V3R016C10S130,0.076272234,0
40786,2026-03-24,EQUIPO DA?ADO,INTERNET FIBRA 60MB,TIT ACEPTA CAMBIO DE MODEM SIN COSTO TEC FERNANDO,nan,2026-03-25,1500374,ACTIVO,VIRREY,XPONDD439C1B,AC,INT20,2022-11-05,1235.0,1.0,-19.987292817679524,485754437423904C,HG8546M,V5R019C00S050,0.076272234,0
43069,2026-03-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,"ER, REQUIERE VISITA",2026-03-25,1500047,ACTIVO,PRADOS VERDES,XPONDD3FCB9F,AC,INT30,2023-07-07,991.0,1.0,-21.122095061728334,58504F4EDD3FCB9F,MN-WIFI2,V1.7.1,0.076272234,0
32063,2026-03-24,EQUIPO DA?ADO,BASICO TV + INTERNET FIBRA 60MB,SIN COSTO TIT ENTERADO PIDE FERNANDO,nan,2026-03-25,1500374,ACTIVO,BELO,OPTI38BFC845,AC,BASINT20,,,1.0,-22.495063819342185,58504F4EDD37C01C,MN-CATV2,V1.7.1,0.076272234,0
40786,2026-03-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,"GT, HA PRESENTADO DESCONEXIONES",2026-03-25,1500374,ACTIVO,VIRREY,XPONDD439C1B,AC,INT20,2022-11-05,1235.0,1.0,-19.987292817679524,485754437423904C,HG8546M,V5R019C00S050,0.076272234,0
46326,2026-03-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO AMBOS SERVICIO,GT.OFFLINE,2026-03-26,1500039,ACTIVO,PEDREGAL,XPONDD919DEE,AC,BASINTF250,,,2.0,-25.802748279252675,58504F4EDD919DEE,MN-CATVDUALM,V1R007C00S001,0.076272234,0
32334,2026-03-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,LOS ROJO,"GT. HA PRESENTADO DESCONEXIONES Y CAIDAS DE NIVEL, REQUIERE VISITA",2026-03-25,1500047,ACTIVO,PRADOS VERDES,XPONDD3FB5FF,AC,BASINT30,2017-04-10,3270.0,1.0,-31.24783827160494,58504F4EDD3FB5FF,MN-CATV2,V1.7.1,0.076272234,0
46055,2026-03-24,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,"GT.CANCELA SERVICIO,SE ELIMINA DE OLT",2026-03-26,1500039,BAJA,PEDREGAL,nan,BA,INT20,,,2.0,,58504F4EDD41F123,MN-WIFI2,V1.7.1,0.076272234,0
32346,2026-03-25,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,GT.OFFLINE,2026-03-26,1500039,ACTIVO,PEDREGAL,XPONDD45B822,AC,INT20,2021-11-02,1604.0,1.0,-26.188096116027538,58504F4EDD45B822,MN-WIFI2,V1.7.1,0.076272234,0
349012,2026-03-25,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 250MB ($399),NO TIENE SERVICIO DE TV TAMPOCO ESTAN CORTADOS LOS CABLES EN LA ZONA DESDE AYER A LAS 10 AM,GT.OFFLINE,2026-03-26,1500046,ACTIVO,PEDREGAL,HWTCAFAB608B,AC,BASINTF250,2016-07-12,3543.0,1.0,-27.868598820059006,48575443AFAB608B,CNA-ONU-4GE2WXCA,V1.7.1,0.076272234,0
45960,2026-03-25,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,JE FUERA DE LINEA REQUIERE VISITA,2026-03-27,1501177,ACTIVO,RICARDO FLORES MAGON,XPONDD7EACDE,AC,BASINTF250,2025-07-11,257.0,2.0,-37.70651917404134,58504F4EDD7EACDE,MN-CATVDUALM,V1R007C00S001,0.076272234,0
42562,2026-03-25,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,CLIENTE COMENTA DESDE AYER NO TIENE SEÑAL DE INTERNET.,nan,2026-03-25,1500047,ACTIVO,PUNHUATO,4857544357820A71,AC,INT30,,,0.0,-26.904736193293928,4857544357820A71,HG8546M,V5R019C00S050,0.076272234,0
